step,mean,std,stderr,count
1,0.37671822,0.74882966,0.023680073139433395,1000
2,0.75537133,1.0114151,0.03198375451590358,1000
3,1.1278733,1.2402585,0.03922041605955785,1000
4,1.5045679,1.4113103,0.044629550811075655,1000
5,1.8322622,1.5931679,0.05038039262353368,1000
6,2.1709669,1.7295351,0.05469270218201355,1000
7,2.5442715,1.8291942,0.05784419917195327,1000
8,2.9785538,1.9792649,0.06258985035739835,1000
9,3.3434014,2.115778,0.06690677406384658,1000
10,3.7186272,2.2479281,0.071085729468421,1000
11,4.0958066,2.3529136,0.07440566170784904,1000
12,4.493511,2.470604,0.07812735655665175,1000
13,4.8319354,2.5382779,0.0802673938606967,1000
14,5.189612,2.6261194,0.08304518633221634,1000
15,5.583139,2.7039053,0.08550499464570821,1000
16,5.9829726,2.7985525,0.08849800093055543,1000
17,6.3853874,2.907901,0.09195590524158602,1000
18,6.7755566,2.9316509,0.09270694075746663,1000
19,7.1207895,2.9532583,0.09339022670857018,1000
20,7.516412,3.0560062,0.09663940113969277,1000
21,7.9188056,3.1450799,0.09945615752738958,1000
22,8.313916,3.2099366,0.10150710860203259,1000
23,8.677405,3.2920134,0.1041026045315152,1000
24,9.066619,3.3611913,0.10629020073324696,1000
25,9.452162,3.441223,0.10882102319659807,1000
26,9.808629,3.515306,0.11116373619620692,1000
27,10.208012,3.571834,0.11295131140323837,1000
28,10.611481,3.6216908,0.11452791751149484,1000
29,11.024354,3.7378733,0.11820193283129128,1000
30,11.424197,3.825191,0.12096316111476117,1000
31,11.789549,3.8447506,0.1215816906657011,1000
32,12.184754,3.9111164,0.12368035896663768,1000
33,12.555673,3.962096,0.12529247591955248,1000
34,12.938645,3.9735036,0.12565321634086216,1000
35,13.278469,4.009544,0.1267929108890439,1000
36,13.636065,4.089489,0.12932099652933535,1000
37,13.9802685,4.157245,0.13146363494620558,1000
38,14.342538,4.2179146,0.1333821705293975,1000
39,14.734066,4.3143563,0.1364319263105809,1000
40,15.11244,4.3919544,0.13888579353159064,1000
41,15.473652,4.4904275,0.1419997854903726,1000
42,15.81254,4.5364156,0.14345405636180814,1000
43,16.191984,4.6259604,0.14628571071745503,1000
44,16.574703,4.6725283,0.14775831754944455,1000
45,16.94621,4.730869,0.14960320771212202,1000
46,17.328423,4.8033705,0.15189591149036805,1000
47,17.704906,4.90211,0.15501833256259545,1000
48,18.066246,4.9792247,0.15745690976386695,1000
49,18.470919,5.001565,0.15816337200721672,1000
50,18.870422,5.0522366,0.15976574798108725,1000
